Number,mon_Index,skill_Name_Kor,skill_Name_En,skill_ID,skill_Type,skill_Targetyp,skill_Range,skill_dmg,skill_MP,skill_Cool,skill_atkTime,skill_continueTime,skill_AtkCount,skill_DiffObj,skill_ThrowObj
1,mon_01_01,분열,Split,1010102,1,0,0,0,0,0,0,0,0,1,0
2,mon_01_01,흡수,Absorption,1010101,2,1,3,2,9,5,2,0,3,0,0
3,mon_01_02,흡수,Absorption,1010201,2,1,3,2,9,5,2,0,3,0,0
4,mon_02_01,화살 쏘기,Shoot Arrow,1020101,2,2,5,2,9,3,5,0,1,0,1
5,mon_02_01,내려치기,Slap,1020102,2,2,1,2,9,3,1,0,1,0,0
6,mon_02_01,찌르기,Sting,1020103,2,2,1,0,0,3,1.5,0,1,0,0
7,mon_03_01,일반 공격,Attack,1030101,2,2,1,0,0,3,1.5,0,1,0,0
8,mon_03_01,돌진 찌르기,Rush Attack,1030102,2,2,3,0,0,3,2,0,1,0,0
9,mon_04_01,스켈레톤 소환,Skeleton recall,1040101,2,2,0,0,0,10,0,10,0,1,0
10,mon_04_01,유성군,Meteor,1040102,2,2,5,0,0,3,2,0,1,0,1
11,mon_04_02,빠져나가지 못한 영혼,Not get out Soul,1050101,1,0,0,0,0,0,0,0,0,0,0
12,mon_04_02,내려치기,Slap,1050102,2,2,1,0,0,2,1,0,1,0,0
13,mon_04_02,찌르기,Sting,1050103,2,2,1,0,0,2,1.5,0,1,0,0
14,mon_05_01,포효,Roar,2050201,1,2,0,0,0,3,0,10,0,1,0
15,mon_05_01,강타,Bang,2050202,2,2,1,0,0,4,1,0,1,0,0
16,mon_05_01,방패 카운터,Shield Counter,2050203,2,2,1,0,0,5,1,0,1,0,0
17,mon_06_01,마력 빔,Magic Beam,3060101,2,1,30,0,70,10,3,0,3,0,1
18,mon_06_02,몬스터 소환술,Monster Recall,3060102,2,2,0,0,70,10,0,10,0,1,0
19,mon_06_04,돌진,Rush,3060104,2,1,20,0,70,10,2,0,1,0,0
20,mon_06_06,2번 휩쓸기,Double Attack,3060201,2,2,5,20,70,10,4,0,1,0,0
21,mon_06_08,유도 마력탄 2,Guided Magic Bullet2,3060203,2,1,30,0,70,10,3,0,1,0,1
22,mon_06_09,돌격 대검,Rush Sword Attack,3060204,2,2,20,20,70,10,3,0,1,0,0
23,mon_06_10,대검 내려찍기,The Great Sword Slap,3060205,2,2,30,30,70,10,2,0,1,0,0
